ticket_id,created_at,resolved_at,channel,agent_id,category,priority,status,subject,body,resolution_note,word_count,product,company,language,region,severity,tags,root_cause,knowledge_article,customer_satisfaction,conversation
TK-000222,2026-04-07 13:04:13,2026-04-07 15:04:13,phone_callback,AGT-014,shipping,medium,resolved,Package arrived damaged,The tracking for order #30041 has been stuck on 'In Transit' for 7 days with no updates.,Damage claim filed with carrier. Replacement order created and shipped. Photo evidence retained.,17,CRM System,IBM,Arabic,Germany,Critical,shipping,Courier delay,"Track shipment, contact courier, arrange replacement if necessary.",5.0,"Customer: The tracking for order #30041 has been stuck on 'In Transit' for 7 days with no updates.
Support: Damage claim filed with carrier. Replacement order created and shipped. Photo evidence retained."
TK-000775,2026-04-16 13:29:24,2026-04-19 06:29:24,email,AGT-001,shipping,medium,resolved,Tracking number not updating,I received a completely wrong item. I ordered Self-enabling optimizing groupware but received something else entirely. Order #14172.,Tracking system glitch identified. Actual package in transit. Customer updated with real ETA.,18,Payment API,Cisco,English,USA,Critical,shipping,Courier delay,"Track shipment, contact courier, arrange replacement if necessary.",5.0,"Customer: I received a completely wrong item. I ordered Self-enabling optimizing groupware but received something else entirely. Order #14172.
Support: Tracking system glitch identified. Actual package in transit. Customer updated with real ETA."
TK-000831,2026-03-27 20:21:57,2026-03-27 23:21:57,email,AGT-015,general,low,resolved,Looking for a case study or demo,I came across your service online and want to know more about what you offer before signing up.,Sent DPA and GDPR compliance documentation. Offered to connect with our DPO.,18,CRM System,Google,Arabic,UAE,Minor,general,Customer information request,Answer customer inquiry using the official knowledge base.,3.0,"Customer: I came across your service online and want to know more about what you offer before signing up.
Support: Sent DPA and GDPR compliance documentation. Offered to connect with our DPO."
TK-000259,2026-03-15 03:08:31,,web_form,AGT-006,technical,medium,open,Application crashes on startup,I get a 500 Internal Server Error when trying to log in. This started 10 days ago. Browser: Safari 17.,,20,Desktop Client,IBM,English,UK,Major,technical,Software bug or infrastructure issue,"Restart service, collect logs, investigate server health, deploy hotfix if required.",,"Customer: I get a 500 Internal Server Error when trying to log in. This started 10 days ago. Browser: Safari 17.
Support: Issue is under investigation."
TK-000681,2026-02-19 16:32:48,2026-02-19 17:32:48,email,AGT-016,shipping,high,closed,Return shipment not picked up,My order was delivered to an old address even though I updated my address before placing the order.,Rescheduled pickup with courier. Customer confirmed pickup completed.,18,CRM System,Amazon,English,Saudi Arabia,Minor,shipping,Courier delay,"Track shipment, contact courier, arrange replacement if necessary.",4.0,"Customer: My order was delivered to an old address even though I updated my address before placing the order.
Support: Rescheduled pickup with courier. Customer confirmed pickup completed."
TK-000706,2026-02-28 05:51:47,2026-03-01 21:51:47,social_media,AGT-008,technical,high,resolved,Application crashes on startup,OTP for 2FA is not arriving via SMS or email. Tested with multiple numbers. Account: charles39@example.net.,Identified a bug in v1.8.18 causing crashes on macOS 14. Hotfix deployed. Customer asked to update.,16,Mobile App,Dell,English,Germany,Minor,technical,Software bug or infrastructure issue,"Restart service, collect logs, investigate server health, deploy hotfix if required.",4.0,"Customer: OTP for 2FA is not arriving via SMS or email. Tested with multiple numbers. Account: charles39@example.net.
Support: Identified a bug in v1.8.18 causing crashes on macOS 14. Hotfix deployed. Customer asked to update."
TK-000299,2026-03-02 11:21:38,2026-03-03 23:21:38,social_media,AGT-020,billing,medium,resolved,Discount code not applied to my bill,I updated my billing address last week but my latest invoice still shows the old address.,Located the refund request. Escalated to finance team. ETA updated and customer informed.,16,Payment API,Intel,English,UAE,Major,billing,Incorrect billing configuration,"Verify invoice, compare billing history, process refund if needed.",3.0,"Customer: I updated my billing address last week but my latest invoice still shows the old address.
Support: Located the refund request. Escalated to finance team. ETA updated and customer informed."
TK-000325,2026-05-12 15:25:48,2026-05-13 01:25:48,web_form,AGT-003,billing,high,resolved,Billing address update not reflected,I cancelled my subscription on 2026-05-14 but was still charged $37.15 for the next cycle.,Confirmed duplicate charge. Refund of $389.63 initiated and will reflect in 3–5 business days.,15,Desktop Client,Google,Arabic,UAE,Major,billing,Incorrect billing configuration,"Verify invoice, compare billing history, process refund if needed.",3.0,"Customer: I cancelled my subscription on 2026-05-14 but was still charged $37.15 for the next cycle.
Support: Confirmed duplicate charge. Refund of $389.63 initiated and will reflect in 3–5 business days."
TK-000693,2026-03-14 17:06:00,,chat,AGT-003,shipping,high,in_progress,Package arrived damaged,I scheduled a return pickup 24 days ago but the courier never showed up.,,14,Cloud Dashboard,IBM,Arabic,Saudi Arabia,Minor,shipping,Courier delay,"Track shipment, contact courier, arrange replacement if necessary.",,"Customer: I scheduled a return pickup 24 days ago but the courier never showed up.
Support: Issue is under investigation."
TK-000037,2026-04-27 04:10:01,2026-04-29 02:10:01,social_media,AGT-001,product,low,closed,Looking for a tutorial on dark mode,It would be great if you could add audit logs to the product. This would save our team a lot of time.,Shared tutorial video and written guide. Customer confirmed issue resolved.,22,Desktop Client,Oracle,English,USA,Minor,product,Missing documentation,Provide product documentation and user guide.,5.0,"Customer: It would be great if you could add audit logs to the product. This would save our team a lot of time.
Support: Shared tutorial video and written guide. Customer confirmed issue resolved."
